Sprint,TaskID,Task,Owner,Role,Dependency,Deliverable,Status
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",14,Train OC-SVM/Isolation Forest (+PCA if needed),Bach,Branch 2 (Anomaly) - independent,Task 10,models/branch2_v1/,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",15,"Metrics page (P/R/F1, latency) - wired to the REAL API: GET /api/v1/metrics/branch1 (backend ready since Day 4, see deploy/README.md)",Minh,Streamlit Web App - independent,Task 13 (API backend),app/pages/metrics.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",16,Update the draft Section 6 (evaluation) with preliminary Branch 1 results,Diep,Support - Report,Task 13,report/section6_draft.md,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",17,"Basic central processing engine (3-branch decision logic, no complex Session Store needed yet) + continue the Branch 1+2 API",Duc,MLOps (reduced scope),Task 13; Task 14,src/decision/central_processor.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",18,Branch 2 done; set up the Docker lab (DVWA/WebGoat) + install sqlmap/mitmproxy for Branch 3,Bach,Train everything - Branch 3 starts,Task 14,docker/dvwa/docker-compose.yml,In progress
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",19,"Wire the REAL Branch 1 API + POST /api/v1/detect (verdict BLOCK/OVERKILL/ALLOW) - ready since Day 4; query test page drops the mock. Branch 2/3 return not_ready, render as placeholder",Minh,Streamlit Web App - independent,Task 13 (API backend),app/streamlit_app.py (updated),Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",20,START EARLY on writing Intro + Related Work for the RIVF 2026 paper (reuse the existing survey); in parallel with the course report,Diep,Support - Report + RIVF paper,None,paper/rivf2026/intro_related_work.tex,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",21,Finish the basic central processor + a simple Overkill queue (no complex TTL/eviction needed yet),Duc,MLOps (reduced scope),Task 17,src/decision/overkill_queue.py,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",22,"Run sqlmap --technique=B and --technique=T through the proxy, collect real traffic for Branch 3",Bach,Train everything,Task 18,data/raw/branch3_sqlmap_sessions/,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",23,"Polish the UI, add the architecture-comparison chart (from the Day 1 notebook)",Minh,Streamlit Web App - independent,Task 19,app/streamlit_app.py (updated),Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",24,Write the RIVF paper's Method section (the locked-in 3-branch architecture + decision logic),Diep,Support - Report + RIVF paper,Task 20,paper/rivf2026/method.tex,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",25,"Finish the combined API (FastAPI) for Branch 1+2, test via the demo",Duc,MLOps (reduced scope),Task 21,deploy/main.py; deploy/routers/,In progress
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",26,Parse traffic into sessions; generate a small adversarial set (WAF-A-MoLE) applied to Branch 1,Bach,Train everything,Task 22,src/preprocessing/parse_sessions.py; data/adversarial/,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",27,Buffer / progress review,Minh,Streamlit Web App - independent,None,None,Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",28,Continue Method + Related Work for the RIVF paper,Diep,Support - Report + RIVF paper,Task 24,paper/rivf2026/method.tex (updated),Not started
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",29,"[Past - recorded after the fact] Built the API scaffold (deploy/main.py, routers/ for 6+ endpoints: admin/data/demo/detect/health/metrics/monitor/branch1/branch2/branch3/train)",Duc,MLOps (actual),Task 25,deploy/main.py; deploy/routers/*.py,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",30,"[Past] Continued tuning Branch 2 (OCSVM vs Isolation Forest, feature scaling/log-transform)",Bach,Train Branch 2,Task 26,src/models/branch2_anomaly.py; train/train_branch2.py,Done
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",31,[Past] Built more demo/admin pages,Minh,Streamlit,Task 27,None,In progress
"Sprint -3: Foundation (data pipeline, Branch 1/2 training, Streamlit + API scaffold)",32,[Past] Paused the RIVF paper - prioritized the 25 Jul report deadline (see the Day 9 note),Diep,Support - Report,None,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",33,"Done: added a full ROC curve for Branch 2 (train/train_branch2.py); wrote + tested train/notebooks/demo_detect.ipynb (loads both models, takes a query, returns a verdict) - 19/20 correct on a random sample",Duc,Metrics + demo notebook,Task 29,train/notebooks/demo_detect.ipynb; reports/branch2_eval.json (has roc_curve),Done
"Sprint -2: Metrics, Demo & Report Planning",34,"Verify Branch 2's results (FPR=0.3%, detection rate=20.7%, AUC=0.90 OCSVM); assess whether they're convincing enough for the report, propose a different threshold if needed",Bach,Branch 2 metrics,Task 30,reports/branch2_eval.json,In progress
"Sprint -2: Metrics, Demo & Report Planning",35,"System (API/Streamlit) postponed - temporarily helping with charts/visualizations for the report (ROC curve, confusion matrix)",Minh,Support for metrics/report,Task 33,None (awaiting confirmation),Not started
"Sprint -2: Metrics, Demo & Report Planning",36,Rewrote the outline for both report versions (Version 1: current 2-branch scope + notebook; Version 2: full 3-branch + complete system) - outline approved with Duc,Diep,Report,Task 33,De_xuat_SQLi_Detection_AI.md,Done
"Sprint -2: Metrics, Demo & Report Planning",37,Help Diep with figures/data for Version 1; polish the demo notebook if needed,Duc,Report support,Task 33,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",38,Provide detailed Branch 2 figures/explanations for Diep's report,Bach,Report support,Task 34,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",39,"Draw charts/diagrams for the report (architecture, ROC curve, confusion matrix)",Minh,Report support,Task 35,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",40,"Write Version 1 (current scope): Problem statement, Related work, 2-branch architecture, Data, Methodology, Experimental results",Diep,Report Version 1,Task 36,report/ban1_scope_hien_tai.md,Not started
"Sprint -2: Metrics, Demo & Report Planning",41,Help review technical figures in both report versions,Duc,Report support,Task 37,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",42,Review the Branch 2 section in both report versions,Bach,Report support,Task 38,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",43,Finish the remaining illustrations,Minh,Report support,Task 39,None,Not started
"Sprint -2: Metrics, Demo & Report Planning",44,Finish Version 1 (Discussion/Limitations/Conclusion); start Version 2 (3-branch architecture + full system + Branch 3 design),Diep,Report Version 1 + Version 2,Task 40,report/ban1_scope_hien_tai.md (finished); report/ban2_hoan_chinh.md (started),Not started
Sprint -1: Midterm Report + Zero-day Fix,45,Help Bach verify the rerun results (the combined_coverage bug has been fixed in code); help Diep/Minh with figures for the midterm report,Duc,Support,Task 41,None,In progress
Sprint -1: Midterm Report + Zero-day Fix,46,"The combined_coverage bug in train/run_zeroday_experiment.py has been fixed (the B1 catch/miss condition was inverted). RERUN the script to: (1) regenerate the 5 missing model weights (branch1_no_*, branch2_zeroday), (2) produce the correct combined_coverage figures. Then push all 7 models (2 production + 5 zero-day) to HF (Jason-42195/VNU-SQLi-Detection-Models)",Bach,Train - fix the zero-day bug,Task 42,models/branch1_no_*/model.joblib; models/branch2_zeroday/model.joblib; report/metrics/zeroday_experiment/summary.json (updated),Not started
Sprint -1: Midterm Report + Zero-day Fix,47,Help Diep write the midterm report (report/midterm/),Minh,Midterm report,Task 43,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,In progress
Sprint -1: Midterm Report + Zero-day Fix,48,"Write/finish the midterm report (report/midterm/) - HIGHEST PRIORITY, due 25 Jul",Diep,Midterm report,Task 44,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,In progress
Sprint -1: Midterm Report + Zero-day Fix,49,Midterm report deadline 25 Jul 23:59. Once done: start DESIGNING Branch 3 (GRU/small-Transformer class model over [B1 embedding + B2 score] per step) + design the Cách A session-dataset generation script,Duc,MILESTONE: Submit the midterm report,Task 45,src/models/branch3_*.py (design),Not started
Sprint -1: Midterm Report + Zero-day Fix,50,Continue rerunning/verifying zero-day if not done by Day 12; start cleaning up to prepare a demo for the 28 Jul presentation,Bach,Train,Task 46,None,Not started
Sprint -1: Midterm Report + Zero-day Fix,51,Help Diep finish + submit the midterm report,Minh,MILESTONE: Submit the midterm report,Task 47,None,Not started
Sprint -1: Midterm Report + Zero-day Fix,52,DEADLINE 23:59 Sat 25 Jul: report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,Diep,MILESTONE: Submit the midterm report,Task 48,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),53,"Build the Cách A session dataset (script combining D1 queries into simulated, labeled sessions) + code the Branch 3 model class",Duc,Branch 3 - dataset + model,Task 49,train/build_session_dataset.py; src/models/branch3_session.py,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),54,"Confirm the zero-day rerun results are reasonable (compare against the old miss-rate/DR columns, should be unchanged); help Duc label the session dataset; START measuring per-branch latency (replace estimated numbers with real benchmarks)",Bach,Train,Task 50,report/metrics/latency_benchmark.json (started),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),55,"START building the real references list for the RIVF paper: replace all \bibitem placeholders, verify each citation (cross-check against the 11 refs from the midterm report)",Minh,References,Task 51,report/conf/rivf2026_paper.tex (references),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),56,Draw the architecture diagram (3 branches -> decision engine) for the paper; start filling in the missing author info (department/email/city),Diep,Diagram + author info,Task 52,report/conf/figures/architecture_diagram.png (started),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),57,Write the train script + eval script for Branch 3; train on the Cách A session dataset -> produce detection rate on blind/query-splitting sessions + FPR on benign sessions,Duc,Branch 3 - train + eval,Task 53,report/metrics/branch3_eval.json,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),58,Finish the end-to-end/decision-engine latency benchmark table; help Duc run Branch 3 training (GPU),Bach,Latency + train support,Task 54,report/metrics/latency_benchmark.json (finished),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),59,"Finish the references list; re-export the Branch 1/2 figures at the correct IEEE column width, readable font",Minh,References + figures,Task 55,report/conf/rivf2026_paper.tex (references done); figures/*.png (re-export),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),60,Finish the presentation slides; finish the architecture diagram + author info,Diep,Slides + diagram + author info,Task 56,slide/presentation.pptx (finished); report/conf/figures/architecture_diagram.png (finished),Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),61,"Tue 28 Jul: PRESENTATION - slides + code + model demo (priority, no RIVF paper work today)",Duc,MILESTONE: PRESENTATION,Task 57,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),62,Support the presentation (Branch 2/zero-day section),Bach,MILESTONE: PRESENTATION,Task 58,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),63,Present slides,Minh,MILESTONE: PRESENTATION,Task 59,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),64,Present slides,Diep,MILESTONE: PRESENTATION,Task 60,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),65,"Decision: does Branch 3 have reasonable session-level results? If YES -> write Section V-D + update the Abstract/Intro for framing (B). If NO -> keep framing (A), Branch 3 stays future work (as in the old draft)",Duc,MILESTONE: Branch 3 GO/NO-GO,Task 61,"report/conf/rivf2026_paper.tex (V-D, framing decision)",Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),66,Follow the GO/NO-GO decision; finish the latency table covering both cases,Bach,RIVF paper,Task 62,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),67,Incorporate advisor feedback; update the contributions sentence per the GO/NO-GO outcome,Minh,RIVF paper,Task 63,None,Not started
Sprint 0: Branch 3 Design + Presentation (superseded framing-A plan),68,"Send the draft to the advisors (Linh Dinh-Van, Thai Kim-Dinh) for review; update the contributions per the GO/NO-GO outcome",Diep,RIVF paper,Task 64,None,Not started
Kickoff: RIVF Re-plan (deadline extended 31 Jul -> 30 Aug),69,Week 0 (partial kickoff): finalize sprint team sync; read continual_learning/RESULTS.md + mlops_contract.md in full to prep for paper integration,Duc,SA/PM/Writer/Researcher,Task 65,None (planning notes),In progress
Kickoff: RIVF Re-plan (deadline extended 31 Jul -> 30 Aug),70,Sprint 0 Day 1: kickoff Sprint 1; draft Abstract/Intro contribution-bullet updates for framing (B) + continual learning,Duc,SA/PM/Writer/Researcher,Task 69,None (draft notes),Not started
Kickoff: RIVF Re-plan (deadline extended 31 Jul -> 30 Aug),71,Sprint 0 Day 1: begin strengthening the Branch 3 dataset,Bach,Researcher,Task 69,data/processed/branch3_sessions_cach_a.csv (in progress),Not started
Kickoff: RIVF Re-plan (deadline extended 31 Jul -> 30 Aug),72,"Sprint 0 Day 1: begin Continual-Learning section -- superseded, drafted directly by the AI assistant this session; see Task 77 for the review task instead",Diep,Writer,Task 69,"N/A -- see report/conf/rivf2026_paper.tex CL subsection (drafted)",Not started
Kickoff: RIVF Re-plan (deadline extended 31 Jul -> 30 Aug),73,Sprint 0 Day 1: begin architecture diagram,Minh,Writer,Task 69,None,Not started
Checkpoint 0,74,CHECKPOINT 0 (User review): check progress on Week 0 kickoff + Sprint 1 readiness,Duc,SA/PM/Writer/Researcher,Tasks 70-73,Status report,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,75,Sprint 1 (Mon-Fri): coordinate all workstreams; draft Abstract/Intro updates,Duc,SA/PM/Writer/Researcher,Task 74,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,76,"Sprint 1 Day 1: Data & Results Validity Audit -- check the Branch 3 TRAIN/TEST split (1,120/280 sessions) for near-duplicate/same-target leakage; check Continual Learning's stacked class (363 templates sampled with replacement to 727 occurrences) for template overlap between the training pool and eval/replay portion; spot-check the re-tagger's noise rate on the zero-day leave-one-out classes (union_based, error_based, time_blind)",Bach,Researcher,Task 71,"Short audit report: what was checked, what was found, whether any existing number needs correcting or re-caveating before submission",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,77,"Sprint 1 Day 1: Review + polish the AI-drafted Continual-Learning subsection in report/conf/rivf2026_paper.tex for technical accuracy, tone consistency with the rest of the paper, and page-budget fit; cross-check every number against report/metrics/continual_learning/RESULTS.md",Diep,Writer,Task 72,report/conf/rivf2026_paper.tex (CL section reviewed/polished),Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,78,Sprint 1: draw architecture diagram (3 branches + decision engine + CL loop); re-export figures,Minh,Writer,Task 73,report/conf/figures/architecture_diagram.png (in progress),Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,79,Sprint 1 Day 2: support all workstreams,Duc,SA/PM/Writer/Researcher,Task 75,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,80,"Sprint 1 Day 2: Stand up the Cach B lab -- Docker DVWA/WebGoat + install sqlmap + mitmproxy capture pipeline between attacker and lab",Bach,Researcher,Task 76,"docker/dvwa/docker-compose.yml; traffic capture script",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,81,"Sprint 1 Day 2: buffer -- CL section already drafted/reviewed; available to support Bach's Cach B session labeling or Minh's diagram work if needed, otherwise standby",Diep,Writer,Task 77,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,82,Sprint 1 Day 2: continue diagram+figures,Minh,Writer,Task 78,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,83,Sprint 1 Day 3: support all workstreams,Duc,SA/PM/Writer/Researcher,Task 79,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,84,"Sprint 1 Day 3: Run sqlmap --technique=B and --technique=T through the proxy against the lab; keep only sessions with confirmed successful extraction. CHECKPOINT: if no usable captured traffic by end of today, stop Cach B for this sprint and pivot Day 4-5 to the robustness track instead",Bach,Researcher,Task 80,"data/raw/branch3_cach_b_sessions/ (if it lands)",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,85,"Sprint 1 Day 3: buffer -- available to support Bach's Cach B work or Minh's diagram if needed, otherwise standby",Diep,Writer,Task 81,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,86,Sprint 1 Day 3: continue diagram+figures,Minh,Writer,Task 82,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,87,Sprint 1 Day 4: support all workstreams,Duc,SA/PM/Writer/Researcher,Task 83,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,88,"Sprint 1 Day 4: (a) if Cach B data exists, parse into the Cach A session schema and cross-validate SessionCorrelator's Cach-A-calibrated thresholds against it via train/calibrate_branch3.py's eval path; (b) always: close the live-API robustness gaps found in the test-coverage audit -- empty session, malformed input, concurrent sessions, and decide+document whether session_idle_gap_seconds should be wired up or marked dead/future-work -- exercised end-to-end via /detect and /branch3/session",Bach,Researcher,Task 84,"Cach A vs Cach B comparison (if available); robustness-test findings",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,89,"Sprint 1 Day 4: buffer -- available to support Bach's Cach B work or Minh's diagram if needed, otherwise standby",Diep,Writer,Task 85,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,90,Sprint 1 Day 4: continue diagram+figures,Minh,Writer,Task 86,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,91,Sprint 1 Day 5 (Fri): finalize Sprint 1 deliverables; prepare for user checkpoint tomorrow,Duc,SA/PM/Writer/Researcher,Task 87,None,Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,92,"Sprint 1 Day 5: finalize and hand off to Duc -- Day-1 audit report, updated report/metrics/branch3_eval.json (Cach A numbers + Cach B comparison if it landed), robustness-test report",Bach,Researcher,Task 88,"report/metrics/branch3_eval.json (final for Sprint 2); audit + robustness reports",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,93,Sprint 1 Day 5: finalize CL section polish; confirm ready for Sprint 2 integration,Diep,Writer,Task 89,"report/conf/rivf2026_paper.tex (CL section polish, final)",Not started
Sprint 1: Strengthen Branch 3 + Draft CL Section + Diagram,94,Sprint 1 Day 5: finalize diagram + figure selection,Minh,Writer,Task 90,report/conf/figures/architecture_diagram.png (final),Not started
Checkpoint 1,95,"CHECKPOINT 1 (User review): review Sprint 1 deliverables (Branch 3 eval, CL section draft, diagram, figures); go/no-go for Sprint 2",Duc,SA/PM/Writer/Researcher,Tasks 75-94,Status report,Not started
Sprint 2: Integrate Results into Paper,96,"Sprint 2 (Mon-Fri): integrate Bach's refreshed Branch 3 numbers into report/conf/rivf2026_paper.tex (replacing the provisional n=280); CL section already drafted/reviewed -- final integration pass; track page count vs. 6 pages",Duc,SA/PM/Writer/Researcher,Task 95,"report/conf/rivf2026_paper.tex (Branch 3 numbers refreshed, CL section integrated)",Not started
Sprint 2: Integrate Results into Paper,97,"Sprint 2: continue whichever of {Cach B session analysis, real latency benchmark} did not finish in Sprint 1 -- do not treat both as mandatory, pick based on the Sprint-1 Day-5 handoff",Bach,Researcher,Task 92,report/metrics/latency_benchmark.json or Cach B analysis (whichever chosen),Not started
Sprint 2: Integrate Results into Paper,98,Sprint 2: polish CL section per Duc integration feedback; add references if needed,Diep,Writer,Task 93,"report/conf/rivf2026_paper.tex (references, if added)",Not started
Sprint 2: Integrate Results into Paper,99,Sprint 2: polish figure selection; ensure figures are at IEEE column width,Minh,Writer,Task 94,report/conf/figures/ (final selection),Not started
Sprint 2: Integrate Results into Paper,100,Sprint 2 Day 2: continue paper writing + integration,Duc,SA/PM/Writer/Researcher,Task 96,None,Not started
Sprint 2: Integrate Results into Paper,101,Sprint 2 Day 2: continue chosen track (Cach B analysis or latency benchmark),Bach,Researcher,Task 97,None,Not started
Sprint 2: Integrate Results into Paper,102,Sprint 2 Day 2: continue CL section,Diep,Writer,Task 98,None,Not started
Sprint 2: Integrate Results into Paper,103,Sprint 2 Day 2: continue figure work,Minh,Writer,Task 99,None,Not started
Sprint 2: Integrate Results into Paper,104,Sprint 2 Day 3: continue paper writing + integration,Duc,SA/PM/Writer/Researcher,Task 100,None,Not started
Sprint 2: Integrate Results into Paper,105,Sprint 2 Day 3: continue chosen track (Cach B analysis or latency benchmark),Bach,Researcher,Task 101,None,Not started
Sprint 2: Integrate Results into Paper,106,Sprint 2 Day 3: continue CL section,Diep,Writer,Task 102,None,Not started
Sprint 2: Integrate Results into Paper,107,Sprint 2 Day 3: continue figure work,Minh,Writer,Task 103,None,Not started
Sprint 2: Integrate Results into Paper,108,Sprint 2 Day 4: continue paper writing + integration,Duc,SA/PM/Writer/Researcher,Task 104,None,Not started
Sprint 2: Integrate Results into Paper,109,Sprint 2 Day 4: continue chosen track (Cach B analysis or latency benchmark),Bach,Researcher,Task 105,None,Not started
Sprint 2: Integrate Results into Paper,110,Sprint 2 Day 4: continue CL section,Diep,Writer,Task 106,None,Not started
Sprint 2: Integrate Results into Paper,111,Sprint 2 Day 4: continue figure work,Minh,Writer,Task 107,None,Not started
Sprint 2: Integrate Results into Paper,112,Sprint 2 Day 5 (Fri): finalize full draft with all real results (B1/2/3 + zero-day + CL); check page count,Duc,SA/PM/Writer/Researcher,Task 108,"report/conf/rivf2026_paper.tex (full draft, ready for user checkpoint)",Not started
Sprint 2: Integrate Results into Paper,113,Sprint 2 Day 5: finalize chosen track's results for the paper,Bach,Researcher,Task 109,report/metrics/latency_benchmark.json or Cach B analysis (finalized),Not started
Sprint 2: Integrate Results into Paper,114,Sprint 2 Day 5: finalize CL section for full draft,Diep,Writer,Task 110,None,Not started
Sprint 2: Integrate Results into Paper,115,Sprint 2 Day 5: finalize figure selection for full draft,Minh,Writer,Task 111,None,Not started
Checkpoint 2,116,CHECKPOINT 2 (User review): review full draft (B1/2/3 + zero-day + CL); page count check; go/no-go for Sprint 3 (trim+review phase),Duc,SA/PM/Writer/Researcher,Tasks 96-115,Full draft PDF,Not started
Sprint 3: Trim + Advisor Review,117,"Sprint 3 (Mon-Fri): own page-budget trim decision if over 6 pages (candidates: shorten Related Work, compress Discussion); send to Dr. Linh/Dr. Thai for review",Duc,SA/PM/Writer/Researcher,Task 116,"report/conf/rivf2026_paper.tex (trimmed, sent for review)",Not started
Sprint 3: Trim + Advisor Review,118,Sprint 3: nice-to-have time-permitting: real end-to-end latency measurement,Bach,Researcher,Task 113,report/metrics/latency_benchmark.json (if done),Not started
Sprint 3: Trim + Advisor Review,119,Sprint 3: standby for reviewer feedback on CL section + references,Diep,Writer,Task 114,None,Not started
Sprint 3: Trim + Advisor Review,120,Sprint 3: standby for reviewer feedback on figures/diagram,Minh,Writer,Task 115,None,Not started
Sprint 3: Trim + Advisor Review,121,Sprint 3: review full draft; give feedback on technical content + framing,Dr. Linh Dinh-Van,Reviewer,Task 117 (draft sent),Review comments,Not started
Sprint 3: Trim + Advisor Review,122,Sprint 3: review full draft; give feedback on technical content + framing,Dr. Thai Kim-Dinh,Reviewer,Task 117 (draft sent),Review comments,Not started
Sprint 3: Trim + Advisor Review,123,Sprint 3 Day 2: coordinate feedback loop with reviewers,Duc,SA/PM/Writer/Researcher,Task 117,None,Not started
Sprint 3: Trim + Advisor Review,124,Sprint 3 Day 2: stand by for feedback,Diep,Writer,Task 119,None,Not started
Sprint 3: Trim + Advisor Review,125,Sprint 3 Day 2: stand by for feedback,Minh,Writer,Task 120,None,Not started
Sprint 3: Trim + Advisor Review,126,Sprint 3 Day 3: incorporate feedback + start revisions,Duc,SA/PM/Writer/Researcher,Task 123,None,Not started
Sprint 3: Trim + Advisor Review,127,Sprint 3 Day 3: incorporate reviewer feedback into CL section,Diep,Writer,Task 124,None,Not started
Sprint 3: Trim + Advisor Review,128,Sprint 3 Day 3: incorporate reviewer feedback into figures/diagram,Minh,Writer,Task 125,None,Not started
Sprint 3: Trim + Advisor Review,129,Sprint 3 Day 4: continue revisions,Duc,SA/PM/Writer/Researcher,Task 126,None,Not started
Sprint 3: Trim + Advisor Review,130,Sprint 3 Day 4: continue revisions,Diep,Writer,Task 127,None,Not started
