Day,Date,Weekday,Owner,Role,Task,Dependency,Deliverable,Status
13,25/7,Sat,Bach,Train,Continue rerunning/verifying zero-day if not done by Day 12; start cleaning up to prepare a demo for the 28 Jul presentation,Day 12 - Bach,None,Not started
13,25/7,Sat,Minh,MILESTONE: Submit the midterm report,Help Diep finish + submit the midterm report,Day 12 - Minh,None,Not started
13,25/7,Sat,Diep,MILESTONE: Submit the midterm report,DEADLINE 23:59 Sat 25 Jul: report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,Day 12 - Diep,report/midterm/AI-Based_SQLi_Detection_Midterm_Report.docx,Not started
14,26/7,Sun,Duc,Branch 3 - dataset + model,"Build the Cách A session dataset (script combining D1 queries into simulated, labeled sessions) + code the Branch 3 model class",Day 13 - Duc,train/build_session_dataset.py; src/models/branch3_session.py,Not started
14,26/7,Sun,Bach,Train,"Confirm the zero-day rerun results are reasonable (compare against the old miss-rate/DR columns, should be unchanged); help Duc label the session dataset; START measuring per-branch latency (replace estimated numbers with real benchmarks)",Day 13 - Bach,report/metrics/latency_benchmark.json (started),Not started
14,26/7,Sun,Minh,References,"START building the real references list for the RIVF paper: replace all \bibitem placeholders, verify each citation (cross-check against the 11 refs from the midterm report)",Day 13 - Minh,report/conf/rivf2026_paper.tex (references),Not started
14,26/7,Sun,Diep,Diagram + author info,Draw the architecture diagram (3 branches -> decision engine) for the paper; start filling in the missing author info (department/email/city),Day 13 - Diep,report/conf/figures/architecture_diagram.png (started),Not started
15,27/7,Mon,Duc,Branch 3 - train + eval,Write the train script + eval script for Branch 3; train on the Cách A session dataset -> produce detection rate on blind/query-splitting sessions + FPR on benign sessions,Day 14 - Duc,report/metrics/branch3_eval.json,Not started
15,27/7,Mon,Bach,Latency + train support,Finish the end-to-end/decision-engine latency benchmark table; help Duc run Branch 3 training (GPU),Day 14 - Bach,report/metrics/latency_benchmark.json (finished),Not started
15,27/7,Mon,Minh,References + figures,"Finish the references list; re-export the Branch 1/2 figures at the correct IEEE column width, readable font",Day 14 - Minh,report/conf/rivf2026_paper.tex (references done); figures/*.png (re-export),Not started
15,27/7,Mon,Diep,Slides + diagram + author info,Finish the presentation slides; finish the architecture diagram + author info,Day 14 - Diep,slide/presentation.pptx (finished); report/conf/figures/architecture_diagram.png (finished),Not started
16,28/7,Tue,Duc,MILESTONE: PRESENTATION,"Tue 28 Jul: PRESENTATION - slides + code + model demo (priority, no RIVF paper work today)",Day 15 - Duc,None,Not started
16,28/7,Tue,Bach,MILESTONE: PRESENTATION,Support the presentation (Branch 2/zero-day section),Day 15 - Bach,None,Not started
16,28/7,Tue,Minh,MILESTONE: PRESENTATION,Present slides,Day 15 - Minh,None,Not started
16,28/7,Tue,Diep,MILESTONE: PRESENTATION,Present slides,Day 15 - Diep,None,Not started
17,29/7,Wed,Duc,MILESTONE: Branch 3 GO/NO-GO,"Decision: does Branch 3 have reasonable session-level results? If YES -> write Section V-D + update the Abstract/Intro for framing (B). If NO -> keep framing (A), Branch 3 stays future work (as in the old draft)",Day 16 - Duc,"report/conf/rivf2026_paper.tex (V-D, framing decision)",Not started
17,29/7,Wed,Bach,RIVF paper,Follow the GO/NO-GO decision; finish the latency table covering both cases,Day 16 - Bach,None,Not started
17,29/7,Wed,Minh,RIVF paper,Incorporate advisor feedback; update the contributions sentence per the GO/NO-GO outcome,Day 16 - Minh,None,Not started
17,29/7,Wed,Diep,RIVF paper,"Send the draft to the advisors (Linh Dinh-Van, Thai Kim-Dinh) for review; update the contributions per the GO/NO-GO outcome",Day 16 - Diep,None,Not started
18,30/7,Wed,Duc,SA/PM/Writer/Researcher,Week 0 (partial kickoff): finalize sprint team sync; read continual_learning/RESULTS.md + mlops_contract.md in full to prep for paper integration,Day 17 - Duc,None (planning notes),In progress
19,31/7,Thu,Duc,SA/PM/Writer/Researcher,Sprint 0 Day 1: kickoff Sprint 1; draft Abstract/Intro contribution-bullet updates for framing (B) + continual learning,Day 18 - Duc,None (draft notes),Not started
19,31/7,Thu,Bach,Researcher,Sprint 0 Day 1: begin strengthening the Branch 3 dataset,Day 18 - Bach,data/processed/branch3_sessions_cach_a.csv (in progress),Not started
19,31/7,Thu,Diep,Writer,Sprint 0 Day 1: begin Continual-Learning section,Day 18 - Diep,None,Not started
19,31/7,Thu,Minh,Writer,Sprint 0 Day 1: begin architecture diagram,Day 18 - Minh,None,Not started
20,1/8,Fri,Duc,SA/PM/Writer/Researcher,Sprint 0 Day 2: support all workstreams; unblock Bach on dataset strategy,Day 19 - Duc,None,Not started
20,1/8,Fri,Bach,Researcher,Sprint 0 Day 2: continue dataset strengthening,Day 19 - Bach,data/processed/branch3_sessions_cach_a.csv (in progress),Not started
20,1/8,Fri,Diep,Writer,Sprint 0 Day 2: continue CL section,Day 19 - Diep,None,Not started
20,1/8,Fri,Minh,Writer,Sprint 0 Day 2: continue diagram,Day 19 - Minh,None,Not started
21,2/8,Sat,Duc,SA/PM/Writer/Researcher,CHECKPOINT 0 (User review): check progress on Week 0 kickoff + Sprint 1 readiness,Day 20 - all,Status report,Not started
22,5/8,Mon,Duc,SA/PM/Writer/Researcher,Sprint 1 (Mon-Fri): coordinate all workstreams; draft Abstract/Intro updates,Day 21 - Duc,None,Not started
22,5/8,Mon,Bach,Researcher,Sprint 1: continue strengthening Branch 3 dataset + retrain GRU,Day 21 - Bach,"data/processed/branch3_sessions_cach_a.csv (expanded), report/metrics/branch3_eval.json (in progress)",Not started
22,5/8,Mon,Diep,Writer,"Sprint 1: write Continual-Learning Results subsection (drift, gate, ablation, shadow)",Day 21 - Diep,"report/conf/rivf2026_paper.tex (CL section draft, in progress)",Not started
22,5/8,Mon,Minh,Writer,Sprint 1: draw architecture diagram (3 branches + decision engine + CL loop); re-export figures,Day 21 - Minh,report/conf/figures/architecture_diagram.png (in progress),Not started
23,6/8,Tue,Duc,SA/PM/Writer/Researcher,Sprint 1 Day 2: support all workstreams,Day 22 - Duc,None,Not started
23,6/8,Tue,Bach,Researcher,Sprint 1 Day 2: continue dataset+retrain,Day 22 - Bach,None,Not started
23,6/8,Tue,Diep,Writer,Sprint 1 Day 2: continue CL section,Day 22 - Diep,None,Not started
23,6/8,Tue,Minh,Writer,Sprint 1 Day 2: continue diagram+figures,Day 22 - Minh,None,Not started
24,7/8,Wed,Duc,SA/PM/Writer/Researcher,Sprint 1 Day 3: support all workstreams,Day 23 - Duc,None,Not started
24,7/8,Wed,Bach,Researcher,Sprint 1 Day 3: continue dataset+retrain,Day 23 - Bach,None,Not started
24,7/8,Wed,Diep,Writer,Sprint 1 Day 3: continue CL section,Day 23 - Diep,None,Not started
24,7/8,Wed,Minh,Writer,Sprint 1 Day 3: continue diagram+figures,Day 23 - Minh,None,Not started
25,8/8,Thu,Duc,SA/PM/Writer/Researcher,Sprint 1 Day 4: support all workstreams,Day 24 - Duc,None,Not started
25,8/8,Thu,Bach,Researcher,Sprint 1 Day 4: continue dataset+retrain,Day 24 - Bach,None,Not started
25,8/8,Thu,Diep,Writer,Sprint 1 Day 4: continue CL section,Day 24 - Diep,None,Not started
25,8/8,Thu,Minh,Writer,Sprint 1 Day 4: continue diagram+figures,Day 24 - Minh,None,Not started
26,9/8,Fri,Duc,SA/PM/Writer/Researcher,Sprint 1 Day 5 (Fri): finalize Sprint 1 deliverables; prepare for user checkpoint tomorrow,Day 25 - Duc,None,Not started
26,9/8,Fri,Bach,Researcher,Sprint 1 Day 5: finalize Branch 3 strengthened eval; hand off to Duc,Day 25 - Bach,report/metrics/branch3_eval.json (final for Sprint 2),Not started
26,9/8,Fri,Diep,Writer,Sprint 1 Day 5: finalize CL section draft,Day 25 - Diep,"report/conf/rivf2026_paper.tex (CL section draft, final)",Not started
26,9/8,Fri,Minh,Writer,Sprint 1 Day 5: finalize diagram + figure selection,Day 25 - Minh,report/conf/figures/architecture_diagram.png (final),Not started
27,10/8,Sat,Duc,SA/PM/Writer/Researcher,"CHECKPOINT 1 (User review): review Sprint 1 deliverables (Branch 3 eval, CL section draft, diagram, figures); go/no-go for Sprint 2",Day 26 - all,Status report,Not started
29,12/8,Mon,Duc,SA/PM/Writer/Researcher,Sprint 2 (Mon-Fri): write Branch 3 §V-D + Discussion/Limitations; integrate CL section; track page count vs. 6 pages,Day 27 - Duc,"report/conf/rivf2026_paper.tex (V-D + integrated CL section, in progress)",Not started
29,12/8,Mon,Bach,Researcher,Sprint 2: finalize any remaining Branch 3 metrics/figures; nice-to-have: start real latency measurement,Day 27 - Bach,report/metrics/latency_benchmark.json (if started),Not started
29,12/8,Mon,Diep,Writer,Sprint 2: polish CL section per Duc integration feedback; add references if needed,Day 27 - Diep,"report/conf/rivf2026_paper.tex (references, if added)",Not started
29,12/8,Mon,Minh,Writer,Sprint 2: polish figure selection; ensure figures are at IEEE column width,Day 27 - Minh,report/conf/figures/ (final selection),Not started
30,13/8,Tue,Duc,SA/PM/Writer/Researcher,Sprint 2 Day 2: continue paper writing + integration,Day 28 - Duc,None,Not started
30,13/8,Tue,Bach,Researcher,Sprint 2 Day 2: continue optional latency work,Day 28 - Bach,None,Not started
30,13/8,Tue,Diep,Writer,Sprint 2 Day 2: continue CL section,Day 28 - Diep,None,Not started
30,13/8,Tue,Minh,Writer,Sprint 2 Day 2: continue figure work,Day 28 - Minh,None,Not started
31,14/8,Wed,Duc,SA/PM/Writer/Researcher,Sprint 2 Day 3: continue paper writing + integration,Day 29 - Duc,None,Not started
31,14/8,Wed,Bach,Researcher,Sprint 2 Day 3: continue optional latency work,Day 29 - Bach,None,Not started
31,14/8,Wed,Diep,Writer,Sprint 2 Day 3: continue CL section,Day 29 - Diep,None,Not started
31,14/8,Wed,Minh,Writer,Sprint 2 Day 3: continue figure work,Day 29 - Minh,None,Not started
32,15/8,Thu,Duc,SA/PM/Writer/Researcher,Sprint 2 Day 4: continue paper writing + integration,Day 30 - Duc,None,Not started
32,15/8,Thu,Bach,Researcher,Sprint 2 Day 4: continue optional latency work,Day 30 - Bach,None,Not started
32,15/8,Thu,Diep,Writer,Sprint 2 Day 4: continue CL section,Day 30 - Diep,None,Not started
32,15/8,Thu,Minh,Writer,Sprint 2 Day 4: continue figure work,Day 30 - Minh,None,Not started
33,16/8,Fri,Duc,SA/PM/Writer/Researcher,Sprint 2 Day 5 (Fri): finalize full draft with all real results (B1/2/3 + zero-day + CL); check page count,Day 31 - Duc,"report/conf/rivf2026_paper.tex (full draft, ready for user checkpoint)",Not started
33,16/8,Fri,Bach,Researcher,Sprint 2 Day 5: finalize latency work if time allows,Day 31 - Bach,report/metrics/latency_benchmark.json (if done),Not started
33,16/8,Fri,Diep,Writer,Sprint 2 Day 5: finalize CL section for full draft,Day 31 - Diep,None,Not started
33,16/8,Fri,Minh,Writer,Sprint 2 Day 5: finalize figure selection for full draft,Day 31 - Minh,None,Not started
34,17/8,Sat,Duc,SA/PM/Writer/Researcher,CHECKPOINT 2 (User review): review full draft (B1/2/3 + zero-day + CL); page count check; go/no-go for Sprint 3 (trim+review phase),Day 32 - all,Full draft PDF,Not started
36,19/8,Mon,Duc,SA/PM/Writer/Researcher,"Sprint 3 (Mon-Fri): own page-budget trim decision if over 6 pages (candidates: shorten Related Work, compress Discussion); send to Dr. Linh/Dr. Thai for review",Day 33 - Duc,"report/conf/rivf2026_paper.tex (trimmed, sent for review)",Not started
36,19/8,Mon,Bach,Researcher,Sprint 3: nice-to-have time-permitting: real end-to-end latency measurement,Day 33 - Bach,report/metrics/latency_benchmark.json (if done),Not started
36,19/8,Mon,Diep,Writer,Sprint 3: standby for reviewer feedback on CL section + references,Day 33 - Diep,None,Not started
36,19/8,Mon,Minh,Writer,Sprint 3: standby for reviewer feedback on figures/diagram,Day 33 - Minh,None,Not started
36,19/8,Mon,Dr. Linh Dinh-Van,Reviewer,Sprint 3: review full draft; give feedback on technical content + framing,Day 33 - Duc (draft sent),Review comments,Not started
36,19/8,Mon,Dr. Thai Kim-Dinh,Reviewer,Sprint 3: review full draft; give feedback on technical content + framing,Day 33 - Duc (draft sent),Review comments,Not started
37,20/8,Tue,Duc,SA/PM/Writer/Researcher,Sprint 3 Day 2: coordinate feedback loop with reviewers,Day 34 - Duc,None,Not started
37,20/8,Tue,Diep,Writer,Sprint 3 Day 2: stand by for feedback,Day 34 - Diep,None,Not started
37,20/8,Tue,Minh,Writer,Sprint 3 Day 2: stand by for feedback,Day 34 - Minh,None,Not started
38,21/8,Wed,Duc,SA/PM/Writer/Researcher,Sprint 3 Day 3: incorporate feedback + start revisions,Day 35 - Duc,None,Not started
38,21/8,Wed,Diep,Writer,Sprint 3 Day 3: incorporate reviewer feedback into CL section,Day 35 - Diep,None,Not started
38,21/8,Wed,Minh,Writer,Sprint 3 Day 3: incorporate reviewer feedback into figures/diagram,Day 35 - Minh,None,Not started
39,22/8,Thu,Duc,SA/PM/Writer/Researcher,Sprint 3 Day 4: continue revisions,Day 36 - Duc,None,Not started
39,22/8,Thu,Diep,Writer,Sprint 3 Day 4: continue revisions,Day 36 - Diep,None,Not started
39,22/8,Thu,Minh,Writer,Sprint 3 Day 4: continue revisions,Day 36 - Minh,None,Not started
40,23/8,Fri,Duc,SA/PM/Writer/Researcher,Sprint 3 Day 5 (Fri): finalize all reviewer feedback incorporation; confirm ready for Sprint 4 (final polish),Day 37 - Duc,report/conf/rivf2026_paper.tex (feedback incorporated),Not started
40,23/8,Fri,Diep,Writer,Sprint 3 Day 5: finalize CL section revisions,Day 37 - Diep,None,Not started
40,23/8,Fri,Minh,Writer,Sprint 3 Day 5: finalize figure/diagram revisions,Day 37 - Minh,None,Not started
41,24/8,Sat,Duc,SA/PM/Writer/Researcher,CHECKPOINT 3 (User review): review Sprint 3 revisions + reviewer feedback incorporation; go/no-go for Sprint 4 (final polish + submit),Day 38 - all,Status report,Not started
43,26/8,Mon,Duc,SA/PM/Writer/Researcher,Sprint 4 (Mon-Fri): coordinate final proofread; confirm no leftover [TODO:] placeholders except author metadata (Duc supplies directly); verify IEEE template compliance,Day 39 - Duc,None,Not started
43,26/8,Mon,Bach,Researcher,"Sprint 4: help proofread technical sections (Branch 1/2/3, zero-day, CL)",Day 39 - Bach,None,Not started
43,26/8,Mon,Diep,Writer,Sprint 4: proofread; test-compile the exact submission package,Day 39 - Diep,None,Not started
43,26/8,Mon,Minh,Writer,Sprint 4: proofread; final figure legibility check,Day 39 - Minh,None,Not started
44,27/8,Tue,Duc,SA/PM/Writer/Researcher,Sprint 4 Day 2: continue final proofread,Day 40 - Duc,None,Not started
44,27/8,Tue,Bach,Researcher,Sprint 4 Day 2: continue proofread support,Day 40 - Bach,None,Not started
44,27/8,Tue,Diep,Writer,Sprint 4 Day 2: continue proofread+test-compile,Day 40 - Diep,None,Not started
44,27/8,Tue,Minh,Writer,Sprint 4 Day 2: continue proofread,Day 40 - Minh,None,Not started
45,28/8,Wed,Duc,SA/PM/Writer/Researcher,Sprint 4 Day 3: continue final proofread,Day 41 - Duc,None,Not started
45,28/8,Wed,Diep,Writer,Sprint 4 Day 3: continue test-compile + final checks,Day 41 - Diep,None,Not started
46,29/8,Thu,Duc,SA/PM/Writer/Researcher,Sprint 4 Day 4: final sign-off before submission,Day 42 - Duc,None,Not started
46,29/8,Thu,Diep,Writer,Sprint 4 Day 4: final submission package ready,Day 42 - Diep,None,Not started
47,30/8,Fri,Duc,SA/PM/Writer/Researcher,MILESTONE: SUBMIT — final oversight + confirm submission,Day 43 - Duc,Confirmation,Not started
47,30/8,Fri,Diep,Writer,MILESTONE: SUBMIT RIVF — submit via EDAS (https://edas.info/N35414) before 23:59 30 Aug (hard deadline),Day 43 - Diep,report/conf/rivf2026_paper.tex (submitted),Not started
